Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
0.0,500.0,0.0,0.0,4.0,4.0,4.0,3.2,-0.804,2.71,-1.29,3.25,-0.751
0.0,500.0,0.0,0.0,4.0,4.0,4.0,3.22,-0.779,2.68,-1.32,3.24,-0.758
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,-0.00119,4.96,-0.0358,4.87,-0.131
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.17,0.174,5.22,0.216,5.16,0.157
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.16,0.156,5.4,0.404,5.03,0.025
0.0,125.0,0.0,0.0,5.0,5.0,5.0,4.42,-0.582,4.46,-0.538,4.26,-0.735
0.0,125.0,0.0,0.0,5.0,5.0,5.0,4.53,-0.474,4.49,-0.508,4.2,-0.797
0.0,125.0,0.0,0.0,5.0,5.0,5.0,4.72,-0.281,4.61,-0.386,4.38,-0.621
0.0,250.0,0.0,0.0,5.0,5.0,5.0,4.22,-0.783,4.28,-0.72,4.39,-0.61
0.0,250.0,0.0,0.0,5.0,5.0,5.0,4.32,-0.675,4.14,-0.859,4.29,-0.712
0.0,250.0,0.0,0.0,5.0,5.0,5.0,4.45,-0.546,4.13,-0.874,4.44,-0.556
0.0,375.0,0.0,0.0,5.0,5.0,5.0,3.79,-1.21,3.5,-1.5,3.96,-1.04
0.0,375.0,0.0,0.0,5.0,5.0,5.0,3.97,-1.03,3.55,-1.45,4.2,-0.803
0.0,375.0,0.0,0.0,5.0,5.0,5.0,3.98,-1.02,3.58,-1.42,4.18,-0.818
0.0,500.0,0.0,0.0,5.0,5.0,5.0,4.05,-0.954,3.38,-1.62,4.08,-0.915
0.0,500.0,0.0,0.0,5.0,5.0,5.0,3.89,-1.11,3.26,-1.74,4.19,-0.807
0.0,500.0,0.0,0.0,5.0,5.0,5.0,3.91,-1.09,3.52,-1.48,3.95,-1.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.351,-0.351,0.214,0.214,0.0912,0.0912
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.33,0.189,0.189,0.0642,0.0642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.357,-0.357,0.205,0.205,0.0996,0.0996
0.0,0.0,125.0,0.0,0.0,0.0,0.0,-0.338,-0.338,0.249,0.249,0.0806,0.0806
0.0,0.0,125.0,0.0,0.0,0.0,0.0,-0.361,-0.361,0.261,0.261,0.0831,0.0831
0.0,0.0,125.0,0.0,0.0,0.0,0.0,-0.281,-0.281,0.169,0.169,0.0942,0.0942
0.0,0.0,250.0,0.0,0.0,0.0,0.0,-0.359,-0.359,0.169,0.169,0.112,0.112
0.0,0.0,250.0,0.0,0.0,0.0,0.0,-0.399,-0.399,0.265,0.265,0.0467,0.0467
